
========== Training Begin ==========

** Initial learning rate: 0.000050 **

Epoch 8, Time 0.43583, Batch 7, Batch I/R Loss = 0.03794, Batch Direct Loss = 0.09256
Epoch 8, Time 0.33411, Batch 8, Batch I/R Loss = 0.02848, Batch Direct Loss = 0.06667
Epoch 8, Time 0.31017, Batch 9, Batch I/R Loss = 0.01018, Batch Direct Loss = 0.02081
Epoch 8, Time 0.23836, Batch 10, Batch I/R Loss = 0.04822, Batch Direct Loss = 0.09110

Epoch 8, Time 5.17915, Average I/R Loss = 0.02929, Average Direct Loss = 0.06369

Epoch 9, Time 1.24268, Batch 0, Batch I/R Loss = 0.03617, Batch Direct Loss = 0.07934
Epoch 9, Time 0.45977, Batch 1, Batch I/R Loss = 0.01754, Batch Direct Loss = 0.04314
Epoch 9, Time 0.44082, Batch 2, Batch I/R Loss = 0.03278, Batch Direct Loss = 0.06801
Epoch 9, Time 0.43184, Batch 3, Batch I/R Loss = 0.01118, Batch Direct Loss = 0.02626
Epoch 9, Time 0.42287, Batch 4, Batch I/R Loss = 0.04858, Batch Direct Loss = 0.10834
Epoch 9, Time 0.42187, Batch 5, Batch I/R Loss = 0.06823, Batch Direct Loss = 0.14522
Epoch 9, Time 0.46177, Batch 6, Batch I/R Loss = 0.01858, Batch Direct Loss = 0.03753
Epoch 9, Time 0.35006, Batch 7, Batch I/R Loss = 0.00466, Batch Direct Loss = 0.00725
Epoch 9, Time 0.34408, Batch 8, Batch I/R Loss = 0.02179, Batch Direct Loss = 0.04996
Epoch 9, Time 0.31017, Batch 9, Batch I/R Loss = 0.03917, Batch Direct Loss = 0.08419
Epoch 9, Time 0.23936, Batch 10, Batch I/R Loss = 0.07570, Batch Direct Loss = 0.15992

Epoch 9, Time 5.22204, Average I/R Loss = 0.03403, Average Direct Loss = 0.07356

Epoch 10, Time 1.16887, Batch 0, Batch I/R Loss = 0.01218, Batch Direct Loss = 0.02806
Epoch 10, Time 0.39993, Batch 1, Batch I/R Loss = 0.04720, Batch Direct Loss = 0.10483
Epoch 10, Time 0.52061, Batch 2, Batch I/R Loss = 0.02407, Batch Direct Loss = 0.05485
Epoch 10, Time 0.33510, Batch 3, Batch I/R Loss = 0.03016, Batch Direct Loss = 0.07158
Epoch 10, Time 0.43683, Batch 4, Batch I/R Loss = 0.07066, Batch Direct Loss = 0.14951
Epoch 10, Time 0.37998, Batch 5, Batch I/R Loss = 0.02999, Batch Direct Loss = 0.07300
Epoch 10, Time 0.46376, Batch 6, Batch I/R Loss = 0.04564, Batch Direct Loss = 0.09028
Epoch 10, Time 0.36004, Batch 7, Batch I/R Loss = 0.04114, Batch Direct Loss = 0.08509
Epoch 10, Time 0.31615, Batch 8, Batch I/R Loss = 0.06125, Batch Direct Loss = 0.13728
Epoch 10, Time 0.30419, Batch 9, Batch I/R Loss = 0.02252, Batch Direct Loss = 0.04304
Epoch 10, Time 0.23936, Batch 10, Batch I/R Loss = 0.00405, Batch Direct Loss = 0.00782

Epoch 10, Time 5.05249, Average I/R Loss = 0.03535, Average Direct Loss = 0.07685

Epoch 11, Time 1.17985, Batch 0, Batch I/R Loss = 0.07107, Batch Direct Loss = 0.15605
Epoch 11, Time 0.46575, Batch 1, Batch I/R Loss = 0.03936, Batch Direct Loss = 0.09037
Epoch 11, Time 0.41689, Batch 2, Batch I/R Loss = 0.03151, Batch Direct Loss = 0.06932
Epoch 11, Time 0.43583, Batch 3, Batch I/R Loss = 0.02932, Batch Direct Loss = 0.05740
Epoch 11, Time 0.42087, Batch 4, Batch I/R Loss = 0.01347, Batch Direct Loss = 0.02940
Epoch 11, Time 0.39694, Batch 5, Batch I/R Loss = 0.02653, Batch Direct Loss = 0.05930
Epoch 11, Time 0.42287, Batch 6, Batch I/R Loss = 0.00951, Batch Direct Loss = 0.01871
Epoch 11, Time 0.40093, Batch 7, Batch I/R Loss = 0.02748, Batch Direct Loss = 0.05293
Epoch 11, Time 0.31915, Batch 8, Batch I/R Loss = 0.02769, Batch Direct Loss = 0.06411
Epoch 11, Time 0.31017, Batch 9, Batch I/R Loss = 0.04745, Batch Direct Loss = 0.11262
Epoch 11, Time 0.23836, Batch 10, Batch I/R Loss = 0.01024, Batch Direct Loss = 0.01748

Epoch 11, Time 5.06047, Average I/R Loss = 0.03033, Average Direct Loss = 0.06615

Epoch 12, Time 1.21575, Batch 0, Batch I/R Loss = 0.03097, Batch Direct Loss = 0.05989
Epoch 12, Time 0.46276, Batch 1, Batch I/R Loss = 0.06411, Batch Direct Loss = 0.14196
Epoch 12, Time 0.40292, Batch 2, Batch I/R Loss = 0.03251, Batch Direct Loss = 0.06850
Epoch 12, Time 0.40193, Batch 3, Batch I/R Loss = 0.03636, Batch Direct Loss = 0.07853
Epoch 12, Time 0.47772, Batch 4, Batch I/R Loss = 0.02346, Batch Direct Loss = 0.05481
Epoch 12, Time 0.33111, Batch 5, Batch I/R Loss = 0.03441, Batch Direct Loss = 0.07445
Epoch 12, Time 0.46575, Batch 6, Batch I/R Loss = 0.03196, Batch Direct Loss = 0.06000
Epoch 12, Time 0.35705, Batch 7, Batch I/R Loss = 0.01706, Batch Direct Loss = 0.04435
Epoch 12, Time 0.31715, Batch 8, Batch I/R Loss = 0.00934, Batch Direct Loss = 0.02214
Epoch 12, Time 0.31216, Batch 9, Batch I/R Loss = 0.05004, Batch Direct Loss = 0.11269
Epoch 12, Time 0.23936, Batch 10, Batch I/R Loss = 0.03487, Batch Direct Loss = 0.07839

Epoch 12, Time 5.08740, Average I/R Loss = 0.03319, Average Direct Loss = 0.07234

Epoch 13, Time 1.21076, Batch 0, Batch I/R Loss = 0.00678, Batch Direct Loss = 0.01678
Epoch 13, Time 0.44780, Batch 1, Batch I/R Loss = 0.07911, Batch Direct Loss = 0.16742
Epoch 13, Time 0.39195, Batch 2, Batch I/R Loss = 0.03526, Batch Direct Loss = 0.07408
Epoch 13, Time 0.46177, Batch 3, Batch I/R Loss = 0.02493, Batch Direct Loss = 0.05773
Epoch 13, Time 0.34907, Batch 4, Batch I/R Loss = 0.05750, Batch Direct Loss = 0.12297
Epoch 13, Time 0.44481, Batch 5, Batch I/R Loss = 0.05385, Batch Direct Loss = 0.10566
Epoch 13, Time 0.40492, Batch 6, Batch I/R Loss = 0.03660, Batch Direct Loss = 0.08597
Epoch 13, Time 0.42686, Batch 7, Batch I/R Loss = 0.03259, Batch Direct Loss = 0.07951
Epoch 13, Time 0.32014, Batch 8, Batch I/R Loss = 0.03515, Batch Direct Loss = 0.07239
Epoch 13, Time 0.30917, Batch 9, Batch I/R Loss = 0.05238, Batch Direct Loss = 0.11348
Epoch 13, Time 0.23936, Batch 10, Batch I/R Loss = 0.02959, Batch Direct Loss = 0.05536

Epoch 13, Time 5.08540, Average I/R Loss = 0.04034, Average Direct Loss = 0.08649

Epoch 14, Time 1.21675, Batch 0, Batch I/R Loss = 0.02532, Batch Direct Loss = 0.05701
Epoch 14, Time 0.41090, Batch 1, Batch I/R Loss = 0.01288, Batch Direct Loss = 0.02332
Epoch 14, Time 0.43584, Batch 2, Batch I/R Loss = 0.04906, Batch Direct Loss = 0.10549
Epoch 14, Time 0.36403, Batch 3, Batch I/R Loss = 0.02639, Batch Direct Loss = 0.05967
Epoch 14, Time 0.43982, Batch 4, Batch I/R Loss = 0.02841, Batch Direct Loss = 0.06244
Epoch 14, Time 0.41888, Batch 5, Batch I/R Loss = 0.03588, Batch Direct Loss = 0.08398
Epoch 14, Time 0.45279, Batch 6, Batch I/R Loss = 0.01490, Batch Direct Loss = 0.03379
Epoch 14, Time 0.31815, Batch 7, Batch I/R Loss = 0.01581, Batch Direct Loss = 0.03468
Epoch 14, Time 0.32114, Batch 8, Batch I/R Loss = 0.07301, Batch Direct Loss = 0.15523
